Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 8028160	Mean reward: 47.625
Step: 8044544	Mean reward: 48.34375
Step: 8060928	Mean reward: 49.1875
Step: 8077312	Mean reward: 47.28125
Step: 8093696	Mean reward: 51.5625
Step: 8110080	Mean reward: 50.6875
Step: 8126464	Mean reward: 49.96875
Step: 8142848	Mean reward: 49.0
Step: 8159232	Mean reward: 49.03125
Step: 8175616	Mean reward: 50.15625
Step: 8192000	Mean reward: 50.9375
Step: 8208384	Mean reward: 52.71875
Step: 8224768	Mean reward: 50.375
Step: 8241152	Mean reward: 52.09375
Step: 8257536	Mean reward: 53.34375
Step: 8273920	Mean reward: 50.65625
Step: 8290304	Mean reward: 48.03125
Step: 8306688	Mean reward: 51.15625
Step: 8323072	Mean reward: 53.6875
Step: 8339456	Mean reward: 50.4375
Step: 8355840	Mean reward: 52.25
Step: 8372224	Mean reward: 54.84375
Step: 8388608	Mean reward: 49.5
Step: 8404992	Mean reward: 51.46875
Step: 8421376	Mean reward: 51.90625
Step: 8437760	Mean reward: 53.1875
Step: 8454144	Mean reward: 49.71875
Step: 8470528	Mean reward: 49.90625
Step: 8486912	Mean reward: 52.0
Step: 8503296	Mean reward: 51.0
Step: 8519680	Mean reward: 51.96875
Step: 8536064	Mean reward: 47.71875
Step: 8552448	Mean reward: 51.34375
Step: 8568832	Mean reward: 51.78125
Step: 8585216	Mean reward: 50.9375
Step: 8601600	Mean reward: 49.0
Step: 8617984	Mean reward: 50.375
Step: 8634368	Mean reward: 50.40625
Step: 8650752	Mean reward: 51.125
Step: 8667136	Mean reward: 50.71875
Step: 8683520	Mean reward: 47.9375
Step: 8699904	Mean reward: 50.5
Step: 8716288	Mean reward: 48.90625
Step: 8732672	Mean reward: 51.125
Step: 8749056	Mean reward: 47.1875
Step: 8765440	Mean reward: 52.03125
Step: 8781824	Mean reward: 49.375
Step: 8798208	Mean reward: 51.0625
Step: 8814592	Mean reward: 49.0625
Step: 8830976	Mean reward: 48.3125
Step: 8847360	Mean reward: 48.75
Step: 8863744	Mean reward: 51.0625
Step: 8880128	Mean reward: 55.625
Step: 8896512	Mean reward: 51.59375
Step: 8912896	Mean reward: 52.375
Step: 8929280	Mean reward: 52.0625
Step: 8945664	Mean reward: 49.1875
Step: 8962048	Mean reward: 49.5
Step: 8978432	Mean reward: 51.4375
Step: 8994816	Mean reward: 49.8125
Step: 9011200	Mean reward: 48.78125
Step: 9027584	Mean reward: 51.4375
Step: 9043968	Mean reward: 51.09375
Step: 9060352	Mean reward: 50.59375
Step: 9076736	Mean reward: 48.5
Step: 9093120	Mean reward: 48.75
Step: 9109504	Mean reward: 46.6875
Step: 9125888	Mean reward: 48.5625
Step: 9142272	Mean reward: 49.15625
Step: 9158656	Mean reward: 50.78125
Step: 9175040	Mean reward: 48.5
Step: 9191424	Mean reward: 52.71875
Step: 9207808	Mean reward: 50.4375
Step: 9224192	Mean reward: 50.4375
Step: 9240576	Mean reward: 48.03125
Step: 9256960	Mean reward: 55.0625
Step: 9273344	Mean reward: 49.9375
Step: 9289728	Mean reward: 52.0
Step: 9306112	Mean reward: 52.28125
Step: 9322496	Mean reward: 50.0625
Step: 9338880	Mean reward: 50.09375
Step: 9355264	Mean reward: 49.34375
Step: 9371648	Mean reward: 52.09375
Step: 9388032	Mean reward: 51.9375
Step: 9404416	Mean reward: 51.3125
Step: 9420800	Mean reward: 49.53125
